指标,30min_baseline_588800_SH,30min_fixed20_588800_SH,30_60_fixed20_588800_SH,30min_baseline_588210_SH,30min_fixed20_588210_SH,30_60_fixed20_588210_SH
绝对收益,0.0749,0.2397,0.273,0.2754,0.4709,0.2971
年化收益,0.0544,0.174,0.1982,0.2,0.342,0.2158
夏普比率,0.4589,1.1547,1.7297,1.517,2.2755,2.1736
卡玛比率,0.4095,1.6135,2.9635,2.9734,4.6098,2.925
新高占比,0.1844,0.1182,0.1441,0.2277,0.1326,0.1297
单笔盈亏比,1.1805,2.2026,2.1452,1.604,3.5051,2.7196
单笔收益,20.11,138.12,201.13,65.23,311.16,232.82
日胜率,0.8415,0.83,0.7925,0.8674,0.8646,0.8213
周胜率,0.24,0.3067,0.32,0.24,0.3067,0.3067
月胜率,0.4444,0.5,0.5556,0.4444,0.5556,0.5556
季胜率,0.3333,0.5,0.6667,0.8333,0.8333,0.8333
年胜率,1.0,1.0,1.0,1.0,1.0,1.0
最大回撤,0.1329,0.1078,0.0669,0.0673,0.0742,0.0738
年化波动率,0.1185,0.1507,0.1146,0.1318,0.1503,0.0993
下行波动率,0.1454,0.1665,0.1118,0.146,0.1405,0.084
新高间隔,190.0,164.0,164.0,165.0,149.0,148.0
交易次数,4600,1800,1400,4600,1600,1350
年化交易次数,3340.63,1307.2,1016.71,3340.63,1161.96,980.4
持仓K线数,15.57,51.56,55.57,14.85,55.13,51.41
交易胜率,0.5217,0.5,0.6071,0.5652,0.5625,0.5556
多头占比,0.2327,0.3161,0.388,0.2213,0.3008,0.3925
空头占比,0.0,0.0,0.0,0.0,0.0,0.0
品种数量,1,1,1,1,1,1
开始日期,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02
结束日期,2026-06-11,2026-06-11,2026-06-11,2026-06-11,2026-06-11,2026-06-11
